4 0 1 8 9305 4 5 1 5 1 1 4 44 2 2 8 3 0 1 2 1
3 96 1 8 33073 4 3 4 2 2 12 4 71 3 1 1 3 0 1 2 2
4 0 0 8 1888 4 5 9 3 0 24 2 22 3 2 0 2 1 1 2 1
4 24 1 0 11882 4 1 8 4 2 3 4 53 3 1 1 4 3 1 2 1
3 18 0 10 23618 4 3 8 2 0 30 1 31 1 2 0 4 0 1 2 1
3 6 0 2 8807 5 4 5 2 0 1 3 26 3 3 0 4 1 1 2 2
3 126 0 6 2343 4 3 10 0 0 3 4 25 1 1 0 3 13 1 2 1
3 12 2 6 29395 4 4 3 4 0 20 4 43 3 1 1 4 0 1 2 1
3 60 0 6 20530 4 3 2 2 2 37 3 48 3 2 1 2 0 1 2 1
4 18 2 5 31804 4 4 3 1 2 1 2 23 1 3 0 4 0 1 2 1
2 42 0 10 13117 4 3 6 3 2 0 3 27 1 3 3 3 2 1 2 2
4 0 0 6 24478 4 1 5 4 2 4 3 125 3 3 2 4 1 1 2 1
3 48 0 6 12615 4 2 6 2 2 3 1 35 1 2 0 1 0 1 2 2
3 12 1 6 3736 4 2 2 2 0 10 3 36 3 1 1 1 2 1 2 1
3 0 1 6 20249 3 3 10 2 1 4 3 21 2 2 1 3 4 1 2 1
1 42 0 10 7280 4 4 9 1 0 39 3 47 3 1 4 3 0 1 1 1
4 24 0 6 32865 4 5 9 3 0 10 3 45 3 1 0 4 3 1 2 2
3 18 4 3 27617 4 5 8 0 2 14 3 20 3 1 4 3 3 1 2 1
3 0 2 1 60170 4 3 8 3 1 11 2 28 3 3 0 2 5 1 2 1
3 36 2 6 9826 4 3 1 1 0 12 2 24 3 2 1 3 5 1 2 1
3 54 2 6 26374 4 2 3 1 0 9 3 138 2 3 1 1 0 1 2 1
3 132 3 6 18261 4 5 2 3 1 9 4 28 1 1 1 4 1 1 2 1
3 78 0 5 10346 4 2 6 2 1 2 3 54 3 2 5 4 1 1 1 2
3 0 0 6 17769 4 3 6 5 0 10 4 62 3 2 1 4 0 1 2 1
4 36 0 6 36100 4 2 2 2 0 3 4 60 3 2 2 3 0 1 2 1
3 0 3 3 52971 4 2 3 4 0 33 3 54 1 1 0 4 5 1 2 1
1 36 4 8 7729 4 3 9 0 0 3 2 42 3 2 1 3 0 1 1 2
3 6 2 6 56568 4 4 10 1 1 8 3 85 1 1 1 4 2 1 2 1
2 138 0 6 23756 4 2 1 1 2 29 2 20 2 2 0 2 0 1 1 1
2 78 0 1 28241 4 3 8 4 0 11 2 22 1 2 2 3 12 1 2 1
2 66 3 6 20930 4 4 5 3 0 11 4 57 3 2 1 4 3 1 2 1
2 42 2 6 33835 4 4 5 5 0 10 2 26 1 2 1 4 2 1 2 1
3 6 0 6 44515 4 2 1 3 0 9 4 32 1 1 0 1 5 1 2 1
3 0 0 10 4873 2 5 8 0 0 0 4 39 1 2 2 4 0 1 2 1
2 78 1 8 40562 4 3 8 5 2 1 4 70 3 2 0 3 0 1 1 1
2 18 0 3 5380 4 3 3 0 0 1 3 86 1 1 3 2 2 1 2 1
2 24 0 5 6203 3 4 6 1 0 9 4 49 3 2 3 4 0 1 2 1
1 0 2 6 18257 4 2 2 3 1 12 3 68 3 1 0 4 0 1 1 2
3 54 3 0 17144 4 4 2 3 2 0 1 20 3 1 0 4 0 1 2 1
